==21880== NVPROF is profiling process 21880, command: ./mbnet
==21880== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21880== Profiling application: ./mbnet
==21880== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
424.59ms  10.080us                    -               -         -         -         -  64.000KB  6.0551GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
424.73ms  7.0720us                    -               -         -         -         -  100.00KB  13.485GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
476.71ms  660.66us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [187]
477.38ms  653.33us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [188]
478.03ms  653.91us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [189]
478.68ms  655.99us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [190]
479.34ms  659.06us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [191]
480.00ms  654.93us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [192]
480.66ms  655.06us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [193]
481.31ms  656.50us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [194]
481.97ms  659.51us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [195]
482.63ms  654.93us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [196]
483.29ms  655.70us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [197]
483.94ms  658.29us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [198]
484.60ms  656.02us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [199]
485.26ms  653.78us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [200]
485.92ms  654.13us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [201]
486.57ms  656.66us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [202]
487.23ms  659.51us             (49 1 1)      (1024 1 1)        31  4.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][16]*) [203]
